Congruency,ImageFile,CalorieLabels
congruente,/images/APIO.png,bajas calorias
congruente,/images/ARROZ.png,bajas calorias
congruente,/images/AZUCAR.png,altas calorias
congruente,/images/BACON.png,altas calorias
congruente,/images/BAYAS.png,bajas calorias
congruente,/images/BROCOLI.png,bajas calorias
congruente,/images/BROWNIE.png,altas calorias
congruente,/images/CARAMELOS.png,altas calorias
congruente,/images/CEBOLLAS.png,bajas calorias
congruente,/images/CEREZAS.png,bajas calorias
congruente,/images/CHAMPINONES.png,bajas calorias
congruente,/images/CHOCOLATE.png,altas calorias
congruente,/images/CREMA.png,altas calorias
congruente,/images/DONUT.png,altas calorias
congruente,/images/DULCEDEAZUCAR.png,altas calorias
congruente,/images/ENSALADA.png,bajas calorias
congruente,/images/ESPARRAGOS.png,bajas calorias
congruente,/images/FRITAS.png,altas calorias
congruente,/images/FRITASBOLSA.png,altas calorias
congruente,/images/GALLETAS.png,altas calorias
congruente,/images/GUISANTES.png,bajas calorias
congruente,/images/HAMBURGUESA.png,altas calorias
congruente,/images/HELADO.png,altas calorias
congruente,/images/HUEVO.png,bajas calorias
congruente,/images/JUDIA.png,bajas calorias
congruente,/images/MAGDALENAS.png,altas calorias
congruente,/images/MANTEQUILLA.png,altas calorias
congruente,/images/MANZANA.png,bajas calorias
congruente,/images/MELON.png,bajas calorias
congruente,/images/PANCHO.png,altas calorias
congruente,/images/PASTEL.png,altas calorias
congruente,/images/PASTELES.png,altas calorias
congruente,/images/PATATA.png,bajas calorias
congruente,/images/PIMIENTOS.png,bajas calorias
congruente,/images/PIZZA.png,altas calorias
congruente,/images/SANDIA.png,bajas calorias
congruente,/images/SOPA.png,bajas calorias
congruente,/images/TARTA.png,altas calorias
congruente,/images/TOMATES.png,bajas calorias
congruente,/images/ZANAHORIA.png,bajas calorias
incongruente,/images/APIO.png,altas calorias
incongruente,/images/ARROZ.png,altas calorias
incongruente,/images/AZUCAR.png,bajas calorias
incongruente,/images/BACON.png,bajas calorias
incongruente,/images/BAYAS.png,altas calorias
incongruente,/images/BROCOLI.png,altas calorias
incongruente,/images/BROWNIE.png,bajas calorias
incongruente,/images/CARAMELOS.png,bajas calorias
incongruente,/images/CEBOLLAS.png,altas calorias
incongruente,/images/CEREZAS.png,altas calorias
incongruente,/images/CHAMPINONES.png,altas calorias
incongruente,/images/CHOCOLATE.png,bajas calorias
incongruente,/images/CREMA.png,bajas calorias
incongruente,/images/DONUT.png,bajas calorias
incongruente,/images/DULCEDEAZUCAR.png,bajas calorias
incongruente,/images/ENSALADA.png,altas calorias
incongruente,/images/ESPARRAGOS.png,altas calorias
incongruente,/images/FRITAS.png,bajas calorias
incongruente,/images/FRITASBOLSA.png,bajas calorias
incongruente,/images/GALLETAS.png,bajas calorias
incongruente,/images/GUISANTES.png,altas calorias
incongruente,/images/HAMBURGUESA.png,bajas calorias
incongruente,/images/HELADO.png,bajas calorias
incongruente,/images/HUEVO.png,altas calorias
incongruente,/images/JUDIA.png,altas calorias
incongruente,/images/MAGDALENAS.png,bajas calorias
incongruente,/images/MANTEQUILLA.png,bajas calorias
incongruente,/images/MANZANA.png,altas calorias
incongruente,/images/MELON.png,altas calorias
incongruente,/images/PANCHO.png,bajas calorias
incongruente,/images/PASTEL.png,bajas calorias
incongruente,/images/PASTELES.png,bajas calorias
incongruente,/images/PATATA.png,altas calorias
incongruente,/images/PIMIENTOS.png,altas calorias
incongruente,/images/PIZZA.png,bajas calorias
incongruente,/images/SANDIA.png,altas calorias
incongruente,/images/SOPA.png,altas calorias
incongruente,/images/TARTA.png,bajas calorias
incongruente,/images/TOMATES.png,altas calorias
incongruente,/images/ZANAHORIA.png,altas calorias
